interacao_id,lead_id,canal,etapa_cadencia,data_interacao,resultado,objecao_registrada,resumo_interacao
281,79,Email,3,2026-06-10,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
282,79,LinkedIn,4,2026-06-16,Sem resposta,,Nenhuma resposta ate o momento
283,80,WhatsApp,1,2026-05-18,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
284,80,Email,2,2026-05-20,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
285,80,WhatsApp,3,2026-05-23,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
286,80,WhatsApp,4,2026-05-26,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
287,81,WhatsApp,1,2026-07-10,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
288,81,Email,2,2026-07-13,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
289,81,Email,3,2026-07-19,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
290,81,Email,4,2026-07-27,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
291,82,Email,1,2026-07-20,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
292,82,WhatsApp,2,2026-07-24,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
293,83,WhatsApp,1,2026-07-18,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
294,83,WhatsApp,2,2026-07-23,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
295,84,WhatsApp,1,2026-06-26,Nao perturbe,,Solicitou remocao da lista de prospeccao
296,84,LinkedIn,2,2026-07-03,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
297,85,WhatsApp,1,2026-08-19,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
298,85,WhatsApp,2,2026-08-22,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
299,85,WhatsApp,3,2026-08-31,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
300,85,WhatsApp,4,2026-09-01,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
301,85,Email,5,2026-09-05,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
302,85,Email,6,2026-09-03,Sem resposta,,Nenhuma resposta ate o momento
303,86,WhatsApp,1,2026-04-19,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
304,86,WhatsApp,2,2026-04-22,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
305,87,Email,1,2026-05-06,Sem resposta,,Nenhuma resposta ate o momento
306,87,Email,2,2026-05-08,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
307,87,Email,3,2026-05-11,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
308,87,Email,4,2026-05-14,Objecao,Ja temos parceiro,Respondeu que nao e prioridade neste momento
309,88,LinkedIn,1,2026-05-18,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
310,88,WhatsApp,2,2026-05-25,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
311,88,LinkedIn,3,2026-05-25,Sem resposta,,Nenhuma resposta ate o momento
312,88,LinkedIn,4,2026-05-25,Sem resposta,,Nenhuma resposta ate o momento
313,89,WhatsApp,1,2026-07-19,Sem resposta,,Nenhuma resposta ate o momento
314,89,LinkedIn,2,2026-07-23,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
315,89,LinkedIn,3,2026-07-22,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
316,90,LinkedIn,1,2026-09-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
317,90,WhatsApp,2,2026-09-10,Nao perturbe,,Solicitou remocao da lista de prospeccao
318,91,Email,1,2026-06-05,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
319,91,WhatsApp,2,2026-06-09,Sem resposta,,Nenhuma resposta ate o momento
320,91,Email,3,2026-06-13,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
321,91,WhatsApp,4,2026-06-21,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
322,91,WhatsApp,5,2026-06-21,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
323,92,WhatsApp,1,2026-04-26,Sem resposta,,Nenhuma resposta ate o momento
324,92,Email,2,2026-04-29,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
325,93,LinkedIn,1,2026-07-13,Nao perturbe,,Solicitou remocao da lista de prospeccao
326,93,LinkedIn,2,2026-07-22,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
327,93,Email,3,2026-07-25,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
328,93,Email,4,2026-07-22,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
329,93,Email,5,2026-08-09,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
330,93,LinkedIn,6,2026-08-03,Sem resposta,,Nenhuma resposta ate o momento
331,94,WhatsApp,1,2026-03-28,Sem resposta,,Nenhuma resposta ate o momento
332,94,Email,2,2026-03-31,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
333,94,WhatsApp,3,2026-04-01,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
334,94,Email,4,2026-04-12,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
335,94,WhatsApp,5,2026-04-17,Nao perturbe,,Solicitou remocao da lista de prospeccao
336,94,Email,6,2026-04-10,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
337,95,Email,1,2026-07-22,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
338,95,Email,2,2026-07-28,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
339,95,Email,3,2026-08-02,Objecao,Manda material por email,"Disse que a decisao nao e dele, indicou outro contato"
340,96,LinkedIn,1,2026-08-12,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
341,96,WhatsApp,2,2026-08-18,Nao perturbe,,Solicitou remocao da lista de prospeccao
342,97,LinkedIn,1,2026-05-25,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
343,97,LinkedIn,2,2026-05-29,Sem resposta,,Nenhuma resposta ate o momento
344,97,LinkedIn,3,2026-06-06,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
345,97,LinkedIn,4,2026-06-04,Objecao,Manda material por email,Informou que o orcamento do ano ja esta comprometido
346,98,WhatsApp,1,2026-09-10,Sem resposta,,Nenhuma resposta ate o momento
347,99,Email,1,2026-09-13,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
348,100,Email,1,2026-07-09,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
349,100,LinkedIn,2,2026-07-12,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
350,100,WhatsApp,3,2026-07-15,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
351,100,LinkedIn,4,2026-07-26,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
352,100,LinkedIn,5,2026-07-26,Objecao,Ja temos parceiro,"Disse que a decisao nao e dele, indicou outro contato"
353,100,WhatsApp,6,2026-07-24,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
354,101,Email,1,2026-06-26,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
355,101,Email,2,2026-07-02,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
356,101,LinkedIn,3,2026-07-04,Sem resposta,,Nenhuma resposta ate o momento
357,101,LinkedIn,4,2026-07-12,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
358,101,LinkedIn,5,2026-07-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
359,102,WhatsApp,1,2026-06-08,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
360,102,LinkedIn,2,2026-06-11,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
361,104,LinkedIn,1,2026-09-05,Sem resposta,,Nenhuma resposta ate o momento
362,104,Email,2,2026-09-14,Objecao,Orcamento comprometido,"Pediu para so enviar material por email, sem call"
363,105,WhatsApp,1,2026-09-12,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
364,106,LinkedIn,1,2026-08-20,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
365,106,WhatsApp,2,2026-08-27,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
366,106,LinkedIn,3,2026-09-04,Sem resposta,,Nenhuma resposta ate o momento
367,107,LinkedIn,1,2026-07-13,Nao perturbe,,Solicitou remocao da lista de prospeccao
368,107,WhatsApp,2,2026-07-18,Objecao,Nao e prioridade este ano,Respondeu que nao e prioridade neste momento
369,107,LinkedIn,3,2026-07-23,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
370,108,LinkedIn,1,2026-04-21,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
371,108,LinkedIn,2,2026-04-25,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
372,108,WhatsApp,3,2026-04-30,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
373,108,WhatsApp,4,2026-04-27,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
374,110,Email,1,2026-05-04,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
375,110,Email,2,2026-05-13,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
376,110,LinkedIn,3,2026-05-16,Sem resposta,,Nenhuma resposta ate o momento
377,111,LinkedIn,1,2026-07-22,Sem resposta,,Nenhuma resposta ate o momento
378,111,LinkedIn,2,2026-07-24,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
379,112,WhatsApp,1,2026-06-13,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
380,112,Email,2,2026-06-18,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
381,112,WhatsApp,3,2026-06-22,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
382,112,WhatsApp,4,2026-06-26,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
383,112,Email,5,2026-06-25,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
384,113,WhatsApp,1,2026-08-26,Objecao,Manda material por email,"Disse que a decisao nao e dele, indicou outro contato"
385,113,WhatsApp,2,2026-08-29,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
386,114,WhatsApp,1,2026-04-04,Sem resposta,,Nenhuma resposta ate o momento
387,114,Email,2,2026-04-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
388,115,WhatsApp,1,2026-08-31,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
389,115,WhatsApp,2,2026-09-01,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
390,116,LinkedIn,1,2026-04-16,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
391,116,Email,2,2026-04-18,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
392,116,LinkedIn,3,2026-04-25,Objecao,Nao sou eu quem decide,Disse que ja tem um parceiro atendendo esse escopo
393,116,WhatsApp,4,2026-05-04,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
394,117,LinkedIn,1,2026-04-11,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
395,117,LinkedIn,2,2026-04-12,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
396,117,LinkedIn,3,2026-04-15,Sem resposta,,Nenhuma resposta ate o momento
397,117,Email,4,2026-04-22,Sem resposta,,Nenhuma resposta ate o momento
398,117,Email,5,2026-04-26,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
399,118,LinkedIn,1,2026-09-04,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
400,118,LinkedIn,2,2026-09-09,Nao perturbe,,Solicitou remocao da lista de prospeccao
401,119,Email,1,2026-08-03,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
402,119,Email,2,2026-08-08,Sem resposta,,Nenhuma resposta ate o momento
403,119,Email,3,2026-08-15,Objecao,,Informou que o orcamento do ano ja esta comprometido
404,119,Email,4,2026-08-20,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
405,120,WhatsApp,1,2026-04-25,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
406,120,WhatsApp,2,2026-04-25,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
407,121,Email,1,2026-05-25,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
408,121,WhatsApp,2,2026-05-29,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
409,121,WhatsApp,3,2026-06-06,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
410,121,WhatsApp,4,2026-06-08,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
411,122,LinkedIn,1,2026-06-04,Objecao,Nao e prioridade este ano,Disse que ja tem um parceiro atendendo esse escopo
412,122,LinkedIn,2,2026-06-09,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
413,122,Email,3,2026-06-14,Sem resposta,,Nenhuma resposta ate o momento
414,122,Email,4,2026-06-23,Objecao,Orcamento comprometido,Informou que o orcamento do ano ja esta comprometido
415,123,Email,1,2026-06-15,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
416,123,LinkedIn,2,2026-06-22,Objecao,Nao sou eu quem decide,"Pediu para so enviar material por email, sem call"
417,123,Email,3,2026-06-25,Objecao,,"Pediu para so enviar material por email, sem call"
418,123,LinkedIn,4,2026-06-30,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
419,123,Email,5,2026-07-05,Sem resposta,,Nenhuma resposta ate o momento
420,124,Email,1,2026-09-16,Nao perturbe,,Solicitou remocao da lista de prospeccao
421,125,LinkedIn,1,2026-06-21,Objecao,Ja temos parceiro,Respondeu que nao e prioridade neste momento
422,125,LinkedIn,2,2026-06-27,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
423,125,WhatsApp,3,2026-06-26,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
424,125,WhatsApp,4,2026-06-29,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
425,126,LinkedIn,1,2026-07-04,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
426,126,Email,2,2026-07-06,Sem resposta,,Nenhuma resposta ate o momento
427,127,Email,1,2026-06-06,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
428,127,Email,2,2026-06-09,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
429,127,WhatsApp,3,2026-06-13,Sem resposta,,Nenhuma resposta ate o momento
430,127,WhatsApp,4,2026-06-21,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
431,127,Email,5,2026-06-16,Objecao,,"Pediu para so enviar material por email, sem call"
432,128,LinkedIn,1,2026-07-11,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
433,128,LinkedIn,2,2026-07-20,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
434,128,LinkedIn,3,2026-07-17,Sem resposta,,Nenhuma resposta ate o momento
435,129,LinkedIn,1,2026-06-26,Objecao,Nao sou eu quem decide,Informou que o orcamento do ano ja esta comprometido
436,129,LinkedIn,2,2026-06-27,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
437,130,WhatsApp,1,2026-04-01,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
438,130,LinkedIn,2,2026-04-06,Sem resposta,,Nenhuma resposta ate o momento
439,130,WhatsApp,3,2026-04-11,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
440,130,Email,4,2026-04-16,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
441,131,Email,1,2026-06-17,Sem resposta,,Nenhuma resposta ate o momento
442,131,Email,2,2026-06-21,Sem resposta,,Nenhuma resposta ate o momento
443,131,Email,3,2026-06-22,Objecao,Nao sou eu quem decide,"Pediu para so enviar material por email, sem call"
444,131,WhatsApp,4,2026-06-25,Sem resposta,,Nenhuma resposta ate o momento
445,132,Email,1,2026-04-15,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
446,132,Email,2,2026-04-20,Sem resposta,,Nenhuma resposta ate o momento
447,132,WhatsApp,3,2026-04-25,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
448,132,Email,4,2026-04-22,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
449,133,WhatsApp,1,2026-04-05,Sem resposta,,Nenhuma resposta ate o momento
450,133,Email,2,2026-04-12,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
451,133,WhatsApp,3,2026-04-20,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
452,134,WhatsApp,1,2026-07-20,Sem resposta,,Nenhuma resposta ate o momento
453,134,Email,2,2026-07-23,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
454,134,Email,3,2026-07-29,Objecao,Ja temos parceiro,Informou que o orcamento do ano ja esta comprometido
455,134,WhatsApp,4,2026-08-06,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
456,134,Email,5,2026-08-06,Sem resposta,,Nenhuma resposta ate o momento
457,134,WhatsApp,6,2026-08-04,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
458,135,Email,1,2026-06-04,Objecao,,Disse que ja tem um parceiro atendendo esse escopo
459,135,Email,2,2026-06-09,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
460,135,LinkedIn,3,2026-06-19,Sem resposta,,Nenhuma resposta ate o momento
461,136,WhatsApp,1,2026-05-29,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
462,136,Email,2,2026-06-04,Sem resposta,,Nenhuma resposta ate o momento
463,136,WhatsApp,3,2026-06-03,Objecao,,"Disse que a decisao nao e dele, indicou outro contato"
464,136,Email,4,2026-06-10,Nao perturbe,,Solicitou remocao da lista de prospeccao
465,137,Email,1,2026-06-11,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
466,137,WhatsApp,2,2026-06-18,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
467,137,LinkedIn,3,2026-06-24,Objecao,Orcamento comprometido,Informou que o orcamento do ano ja esta comprometido
468,137,LinkedIn,4,2026-06-22,Objecao,,Informou que o orcamento do ano ja esta comprometido
469,138,WhatsApp,1,2026-04-21,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
470,138,Email,2,2026-04-22,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
471,138,Email,3,2026-05-01,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
472,138,WhatsApp,4,2026-05-02,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
473,138,WhatsApp,5,2026-05-06,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
474,139,LinkedIn,1,2026-05-01,Nao perturbe,,Solicitou remocao da lista de prospeccao
475,139,Email,2,2026-05-09,Objecao,,Respondeu que nao e prioridade neste momento
476,140,Email,1,2026-07-10,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
477,140,WhatsApp,2,2026-07-13,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
478,140,WhatsApp,3,2026-07-19,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
479,140,Email,4,2026-07-23,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
480,140,WhatsApp,5,2026-08-01,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
481,141,WhatsApp,1,2026-06-19,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
482,141,WhatsApp,2,2026-06-22,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
483,141,Email,3,2026-06-25,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
484,142,Email,1,2026-05-08,Sem resposta,,Nenhuma resposta ate o momento
485,142,Email,2,2026-05-14,Nao perturbe,,Solicitou remocao da lista de prospeccao
486,142,Email,3,2026-05-19,Objecao,Ja temos parceiro,"Disse que a decisao nao e dele, indicou outro contato"
487,142,WhatsApp,4,2026-05-16,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
488,142,Email,5,2026-05-29,Objecao,Orcamento comprometido,Respondeu que nao e prioridade neste momento
489,143,WhatsApp,1,2026-07-25,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
490,143,WhatsApp,2,2026-07-31,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
491,144,Email,1,2026-03-27,Reuniao marcada,,Confirmou call para semana seguinte para discutir escopo tecnico
492,144,WhatsApp,2,2026-04-03,Objecao,Nao e prioridade este ano,Disse que ja tem um parceiro atendendo esse escopo
493,145,Email,1,2026-08-12,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
494,145,WhatsApp,2,2026-08-17,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
495,145,Email,3,2026-08-18,Objecao,,"Pediu para so enviar material por email, sem call"
496,145,Email,4,2026-08-25,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
497,145,WhatsApp,5,2026-08-29,Sem resposta,,Nenhuma resposta ate o momento
498,145,Email,6,2026-09-08,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
499,146,Email,1,2026-05-07,Objecao,,Disse que ja tem um parceiro atendendo esse escopo
500,146,Email,2,2026-05-13,Respondeu,,Questionou sobre integracao com o ambiente de nuvem que ja usam
501,146,Email,3,2026-05-15,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
502,146,Email,4,2026-05-27,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
503,146,Email,5,2026-05-28,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
504,146,WhatsApp,6,2026-05-27,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
505,147,WhatsApp,1,2026-04-06,Sem resposta,,Nenhuma resposta ate o momento
506,147,WhatsApp,2,2026-04-11,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
507,147,WhatsApp,3,2026-04-16,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
508,147,WhatsApp,4,2026-04-21,Objecao,Manda material por email,"Pediu para so enviar material por email, sem call"
509,148,Email,1,2026-08-25,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
510,148,LinkedIn,2,2026-08-30,Sem resposta,,Nenhuma resposta ate o momento
511,148,WhatsApp,3,2026-09-06,Objecao,,"Disse que a decisao nao e dele, indicou outro contato"
512,148,WhatsApp,4,2026-09-11,Sem resposta,,Nenhuma resposta ate o momento
513,148,Email,5,2026-09-16,Sem resposta,,Nenhuma resposta ate o momento
514,149,WhatsApp,1,2026-05-20,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
515,149,LinkedIn,2,2026-05-25,Objecao,Nao sou eu quem decide,Respondeu que nao e prioridade neste momento
516,149,Email,3,2026-06-01,Objecao,,Respondeu que nao e prioridade neste momento
517,149,WhatsApp,4,2026-06-10,Nao perturbe,,Solicitou remocao da lista de prospeccao
518,149,LinkedIn,5,2026-06-01,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
519,150,WhatsApp,1,2026-08-19,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
520,150,LinkedIn,2,2026-08-23,Objecao,Nao sou eu quem decide,"Pediu para so enviar material por email, sem call"
521,150,WhatsApp,3,2026-08-25,Sem resposta,,Nenhuma resposta ate o momento
522,150,WhatsApp,4,2026-08-25,Sem resposta,,Nenhuma resposta ate o momento
523,150,Email,5,2026-08-28,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
524,150,LinkedIn,6,2026-09-12,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
525,151,Email,1,2026-04-02,Objecao,,Disse que ja tem um parceiro atendendo esse escopo
526,151,WhatsApp,2,2026-04-06,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
527,151,Email,3,2026-04-10,Objecao,Nao sou eu quem decide,"Disse que a decisao nao e dele, indicou outro contato"
528,151,Email,4,2026-04-18,Sem resposta,,Nenhuma resposta ate o momento
529,152,WhatsApp,1,2026-07-26,Objecao,,Respondeu que nao e prioridade neste momento
530,152,WhatsApp,2,2026-07-29,Sem resposta,,Nenhuma resposta ate o momento
531,152,WhatsApp,3,2026-08-04,Sem resposta,,Nenhuma resposta ate o momento
532,152,Email,4,2026-08-12,Reuniao marcada,,Reuniao marcada apos troca sobre caso de uso similar ao deles
533,152,Email,5,2026-08-07,Objecao,Nao e prioridade este ano,Informou que o orcamento do ano ja esta comprometido
534,152,Email,6,2026-08-10,Objecao,Ja temos parceiro,Respondeu que nao e prioridade neste momento
535,153,LinkedIn,1,2026-07-11,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
536,153,Email,2,2026-07-16,Respondeu,,Pediu para encaminhar o material para o time tecnico avaliar
537,153,Email,3,2026-07-24,Sem resposta,,Nenhuma resposta ate o momento
538,153,WhatsApp,4,2026-07-18,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
539,153,WhatsApp,5,2026-07-21,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
540,154,WhatsApp,1,2026-04-19,Reuniao marcada,,Aceitou reuniao para apresentar a solucao em detalhe
541,154,WhatsApp,2,2026-04-25,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
542,154,LinkedIn,3,2026-04-25,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
543,155,Email,1,2026-08-13,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
544,155,LinkedIn,2,2026-08-18,Nao perturbe,,Solicitou remocao da lista de prospeccao
545,156,Email,1,2026-06-05,Respondeu,,Perguntou como funciona a alocacao de especialista sem abrir headcount
546,156,Email,2,2026-06-08,Objecao,Nao sou eu quem decide,Disse que ja tem um parceiro atendendo esse escopo
547,156,Email,3,2026-06-15,Respondeu,,Confirmou interesse mas pediu para retomar apos o fechamento do trimestre
548,156,WhatsApp,4,2026-06-16,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
549,156,WhatsApp,5,2026-06-25,Sem resposta,,Nenhuma resposta ate o momento
550,157,LinkedIn,1,2026-08-12,Sem resposta,,Nenhuma resposta ate o momento
551,157,WhatsApp,2,2026-08-14,Respondeu,,Pediu mais detalhes sobre governanca e controle de acesso a dado sensivel
552,157,LinkedIn,3,2026-08-24,Objecao,Manda material por email,"Pediu para so enviar material por email, sem call"
553,157,Email,4,2026-08-22,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
554,157,WhatsApp,5,2026-08-26,Sem resposta,,Nenhuma resposta ate o momento
555,158,Email,1,2026-07-28,Respondeu,,Perguntou sobre volume de dados processado e tempo de implantacao
556,158,LinkedIn,2,2026-07-30,Objecao,Orcamento comprometido,"Disse que a decisao nao e dele, indicou outro contato"
557,158,LinkedIn,3,2026-08-09,Nao perturbe,,Pediu para nao ser mais contatado sobre o tema
558,158,LinkedIn,4,2026-08-07,Sem resposta,,"Mensagem visualizada no LinkedIn, sem retorno"
559,158,WhatsApp,5,2026-08-06,Sem resposta,,Nenhuma resposta ate o momento
